Xではないかとつくづく疑問に思う	I often wonder if it might be X.
Xがいいなといつも思います	I always think X would be nice.
それがあるようにいつも思います	It always seems like it is there.
それが多すぎないかと正直思う	I honestly feel like there is too much.
山田はみんなに好かれるタイプの人だと思う	I think that Yamada is the type everybody likes.
〜と誰かが思った	Someone thought that 〜
Xはしんどいことだと思います	X seems like it's really tough.
Xは時間の問題と思います	I think X is just a matter of time.
Xは今後の課題と思います	I think that X will become an issue in the future.
それは桃山時代前後の作品だと思います	I think this was made around the Momoyama Period.
それは昭和初期の映画だと思います	I think this movie is from the early Showa Period.
勝とうなどと誰が思うか	Who thinks they're going to win?
Xの方がどうかと思う	I wonder about X.
彼ができてなかったように思う	I don't think he was able do it.
彼が常に上の存在であって欲しいと思います	I don't want to be better than him.
過言ではないと思います	I don't think that's an exaggeration.
Xの方が納得いくと思います	I think X is more convincing.
私は、五十時間もかかると、時間が惜しい気がする	If I spend fifty hours, I feel like I wasted my time.
高速だとなんか遠回りの気がする	The expressway might be the long way.
虚しい感じがしました	It felt empty.
彼がXをあまり気にしない	He doesn't really care about X.
彼がその日の夜の話をする	He's going to talk about that night.
彼が会社で仕事をします	He works at a company.
それがXを目的とする	That's aiming for X.
Xを私自身がした	I did X myself.
彼がそれを基準にする	He's making that a criterion.
曲がるたびに音がする	It makes a noise when it turns.
自分がその顔をする	I got a look like that on my face.
彼が計画案の提出期限を一年以内としました	He set a within-the-year deadline for the proposed plans.
自分がいい思いをする	I'm just looking out for number one.
２０００でいい気がします	I think 2000 is good.
多くの人達が活動をする	A lot of people are active.
彼が私と生計を一にします	He shares living expenses with me.
３０．２％の方が販売員の意見を参考にする	30.2% of people take salesperson opinion into account.
何かが倒れる音がした	It sounds like something fell.
いろんな人が努力をしました	A lot of people helped out.
家族が誕生日の準備をします	The family is getting ready for the birthday.
認知症を患った人たちが共同生活をしている	People suffering from dementia are living together.
その言葉を誰もが一度は耳にした	Everyone's heard that once.
人が選別業務をします	Sorting will be done by hand.
概ね次のとおりとする	We'll do it mainly as follows.
一定期間のパスポートの残存期間を必要とします	There should be a definite term remaining on the passport.
そんな事を誰かが口にした	Someone said something like that.
６年生が、歌の練習をしました	The sixth graders practiced singing.
２分の１の額とする	It will be half of the amount.
彼が世界陸上の切符を手にする	He's got a ticket to the Track and Field World Championships.
彼が言葉を口にした	He started talking.
妻が買い物をする	My wife goes shopping.
あなたが移し変えの時間を１秒にしました	You shortened the moving time to 1 second.
Xを評価の対象とします	X will be evaluated.
９人がけがをした	Nine people were injured.
中学校の２年生が職場体験をしました	The junior high 8th graders went to observe workplaces.
子ども達が英語の勉強をしました	Children studied English.
山田先生が、佐藤先生に質問をする	Mr. Yamada asks Mr. Sato.
彼がXを初めて目にしました	He saw X for the first time.
彼が迷惑行為をしています	He is creating a nuisance.
彼が忙しくなりそうな予感がする	I have a feeling that he will be busy.
三年生が卒業証書づくりをした	The 3rd graders made diplomas.
店員が客に商品の説明をした	The clerk explained the product to the customer.
Xがガン予防の働きをする	X works as a preventive factor against cancer.
別表のとおりとする	See Appendix.
Xを第一とした	X was supposed to be above everything else.
予算の総額を２億２８４万円とする	The total budget is 2.84 million yen.
彼が敵を壊滅状態にする	He devastated the enemy.
人が人の形をしない	No human shapes remained.
スタッフが作品づくりの手伝いをします	Our staff can help you create it.
臨床的研究の発展並びに診療レベルの向上を目的とする	Our purpose is improving the development of clinical approaches and the standards of medical practice.
錬磨及び育成を目的とします	Our purpose is improvement and training.
それぞれが工夫をした	Each one exercised their ingenuity.
委員会の人たちが、あいさつ運動をしました	Committee members conducted a greeting exercise.
誰もが経験をする	Everyone experiences it.
彼がXを目的とする	He aims at X.
彼がこういう言い方をしました	He put it this way.
子供たちの代表が親や祖父母の人たちにお礼の挨拶をした	The representative of the children expressed words of thanks for their parents and grandparents.
花子ちゃんとあたしが返事をする	Hanako and I replied.
自分が無理をする	I overdo it.
彼がXをテーマにしました	He selected X as a theme.
子供がゲームをする	The kids play games.
結構な数の会社に私がお願いの電話をした	I called quite a few companies to ask for that.
母が手術をしました	My mother had an operation.
あなたがポイントサイトに登録をします	Sign up for the point site.
彼が商品の紹介をした	He introduced the product.
ダイヤの鑑定士の資格をもった人が検査をします	It will be examined by a qualified diamond appraiser.
明日はパンにする	I'll have bread tomorrow.
二人が会話をする	Two of them have a conversation.
彼がアダルト的発言をしました	He made an obscene remark.
多くの人が行動をともにした	Many people acted together.
プロが吊るし切りにしました	It was professionally hung and cut.
冬の香りがしました	I smelled winter in the air.
彼がイベント後の処理をする	He's taking care of the after-events.
私たちが想いを形にします	We will make your thoughts a reality.
私が収入の約束をする	I assure that you can make money.
彼がいい動きをする	He performs well.
僕が妹に恋をする	I am in love with my sister.
二人の人が旅をします	Two people travel together.
彼が内容の確認をします	He will confirm the content.
自分が損をします	I will take a loss.
自分がおかしな表情をする	I made a funny face.
女装を密かに楽しむ方を対象にします	It is targeted at those who secretly enjoy dressing in drag.
アフリカに関心のある人たちが、情報や意見の交換をします	Those who have interests in Africa exchange information and ideas with each other.
血の味がします	It tastes like blood.
彼が住所変更の手続をします	He goes through the procedure for a change of address.
報道機関が調査をする	It was investigated by the press.
地域の人たちが沼の掃除をします	The local residents clean up the pond.
彼が建築会社で足場関係の仕事をしています	He is engaged in a scaffolding-related work at a construction company.
製品の設定を工場出荷時の設定にします	Reset the product to the factory default settings.
凄い人が話しをする	An amazing person will make a speech.
年齢が６８歳以下の者とする	Ages 68 and below.
スタッフが見学者の対応をした	The staff attended to the visitors.
治療を私がする	I will do the treatment.
彼が一緒に夕食作りや菓子作りの手伝いをします	He helps to cook the dinner and desserts
自分がそれをする	I will do that.
たくさんの人が釣りをしました	Plenty of people went fishing.
春の匂いがした	Spring is in the air.
歩いただけで吐き気がする	I feel nauseous by just walking.
彼が昔の話をした	He talked about the past.
変更があったときも同様とする	It is the same even if there are changes.
彼がそろそろ９月号の準備をする	He is about to prepare for the September issue.
彼らが議論をしませんでした	They did not have a discussion.
彼が楽譜に階名ふりをする	He puts the names of the notes on the musical score.
いろんな人が研究をします	Many people do research.
そういう人を相手にしません	I won't pay any attention to someone like that.
俺の唇が、Xにフタをした	I put my lips on X.
ほとんどの人が対策をしません	Few people have countermeasures.
新チームが試合をしました	A new team had a match.
主に初心者の方を対象にします	It's mainly for beginners.
係の人がチェックをする	The person in charge will check it.
その提案を私達がしました	We made the proposal.
担当スタッフが、職人さんと打合せをします	The people in charge will meet with the craftsmen.
子供たちが水遊びをする	Children play with water.
三人が店を後にする	The three people leave the shop.
パソコン初心者が人のマネをする	Computer beginners imitate others.
彼が簡単に商品の紹介をします	He briefly introduces the products.
先生方が訪問指導をします	The teacher pays a visit and gives instructions.
何人もの人達が記念撮影をしました	Many people took photos to remember it by.
誰もが判断をする	Everyone make judgments.
旅行で何度もこの言葉を耳にした	I've heard that word many times during the trip.
わたくしが管理をします	I am in charge of it.
京都地区を中心にします	It's centered in the Kyoto district.
それをみじん切りにする	Chop it into fine pieces.
４人が、きのう、山田市長に受賞報告をしました	Yesterday, 4 people reported the awards to Mayor Yamada.
彼が掲示板に書き込みをしました	He posted on a message board.
彼が彼女の唇におはようのキスをする	He gave her a morning kiss on her lips.
彼が一緒に英語の勉強をしました	He studied English with me/them.
片腕のない選手がプレーをしました	A one-armed athlete played.
江戸時代を中心とする	The focus is centered on the Edo period.
１／３が実話を基にします	A third are based on real stories.
彼がそれをＫｅｙＷｏｒｄにする	He made that a key word.
Xがはっきりしました	X has become clear.
ネコがウンコをする	The cat is pooping.
ヨーロッパ方面の居住者の方には、商品の販売をしません	Merchandise is not sold to European residents.
私が予約をした	I made a reservation.
それをベースにします	Use that as the base.
断面が円形をしています	It's circular in cross-section.
経験がある人を対象にしています	It's geared towards experienced people.
ご家族の負担の軽減を目的にサービスの提供をします	We provide services to alleviate your family's burden.
二人の女優が男性ファンの目をくぎ付けにした	The two actresses firmly attracted male fans’ attention.
その契約をショッピングの会社がします	That contract is to be signed by the shopping company.
かすかな声がする	There is a faint sound.
ある人が、そういう使い方をした	Some people used it in that way.
彼がある実験をした	He conducted an experiment.
彼がXを全部、人のせいにした	He completely blamed other people for X.
彼がそういう見方をしています	He holds those kinds of views.
それとは別の選択を私がする	I made a different choice from that.
クラスの誰もが好評価をした	Everyone in the class evaluated it well.
中小企業が大陸へ投資をする	Small and mid-sized companies invest in the continent/mainland. 
彼が、そんな表現をした	He put it like that.
私がミスをした	I made a mistake.
山田と佐藤が一緒に歌の練習をする	Yamada and Sato practice singing together.
私がアドバイスをする	I give advice.
山田さんと音声の人が時間の調整などをした	Mr. Yamada and the sound guy arranged the time and other details.
彼が３種類をセットにしました	He bundles three kinds into one set.
消費者が、クレジットカード会社に入会申込みをします	Consumers apply to the credit card company.
専門業者が工事をします	The construction is conducted by professionals.
以後は慎むこととする	Be cautious afterwards.
全員が心を１つにする	Everyone is of one mind.
相手側が拒否設定にしている	The person on the other end set it to reject anything incoming.
猫が昼寝をした	The cat took a nap.
彼がXを問題にしません	He doesn't consider X to be a problem.
彼がそれをあちこちで目にする	He sees that everywhere.
上司からの力強い言葉に眩暈がした	The boss' powerful words were dizzying
こちらの方が心配をする	In fact, we worry about it.
彼が働く決心をした	He made up his mind to work.
彼がにがうりを２ｍｍくらいの薄切りにする	He cuts the balsam pear into slices of around 2 mm.
目の前の人たちが自分に期待をしている	People in front of me have expectations on me.
彼が桜の花をモチーフにした	He decided on a cherry blossom motif.
彼が食事と排便の世話をする	He takes care of meals and bowel movements.
あなたがダイエットをする	You are going to lose weight.
計画案の提出期限を、原則として一年以内としました	It was decided that plans should be submitted within one year.
彼が気分転換に犬の散歩をします	He walks his dog for a change of pace.
